,Code,Symbol,Name,Category,Underlying,Market,last_updated
0,069500,069500,KODEX 200,Index,KOSPI 200,KR,2025-06-14 23:29:52
1,102110,102110,TIGER 200,Index,KOSPI 200,KR,2025-06-14 23:29:52
3,251340,251340,KODEX 코스닥150,Index,KOSDAQ 150,KR,2025-06-14 23:29:52
5,091160,091160,KODEX 반도체,Sector,Semiconductor,KR,2025-06-14 23:29:52
6,091170,091170,KODEX 은행,Sector,Bank,KR,2025-06-14 23:29:52
7,266420,266420,KODEX 자동차,Sector,Automotive,KR,2025-06-14 23:29:52
8,143850,143850,TIGER 미국나스닥100,International,NASDAQ 100,KR,2025-06-14 23:29:52
9,133690,133690,TIGER 미국S&P500,International,S&P 500,KR,2025-06-14 23:29:52
10,195930,195930,TIGER 중국본토CSI300,International,CSI 300,KR,2025-06-14 23:29:52
11,132030,132030,KODEX 골드선물(H),Commodity,Gold,KR,2025-06-14 23:29:52
12,130680,130680,TIGER 원유선물Enhanced(H),Commodity,Oil,KR,2025-06-14 23:29:52
13,114260,114260,KODEX 국고채3년,Bond,KTB 3Y,KR,2025-06-14 23:29:52
14,148070,148070,KOSEF 국고채10년,Bond,KTB 10Y,KR,2025-06-14 23:29:52
15,161510,161510,ARIRANG 고배당주,Dividend,High Dividend,KR,2025-06-14 23:29:52
16,308620,308620,KODEX 미국배당다우존스,Dividend,US Dividend,KR,2025-06-14 23:29:52
